CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage sages-femmes
02241;La Croix-sur-Ourcq;3_intermediaire
02242;Crouttes-sur-Marne;2_Sous_dotee
02243;Crouy;3_intermediaire
02244;Crupilly;1_Tres_sous_dotee
02245;Cuffies;3_intermediaire
02246;Cugny;1_Tres_sous_dotee
02248;Cuirieux;3_intermediaire
02249;Cuiry-Housse;2_Sous_dotee
02250;Cuiry-lès-Chaudardes;3_intermediaire
02251;Cuiry-lès-Iviers;1_Tres_sous_dotee
02252;Cuissy-et-Geny;3_intermediaire
02253;Cuisy-en-Almont;3_intermediaire
02254;Cutry;2_Sous_dotee
02255;Cys-la-Commune;3_intermediaire
02256;Dagny-Lambercy;1_Tres_sous_dotee
02257;Dallon;1_Tres_sous_dotee
02258;Dammard;2_Sous_dotee
02259;Dampleux;2_Sous_dotee
02260;Danizy;1_Tres_sous_dotee
02261;Dercy;3_intermediaire
02262;Deuillet;1_Tres_sous_dotee
02263;Dhuizel;3_intermediaire
02264;Dizy-le-Gros;1_Tres_sous_dotee
02265;Dohis;1_Tres_sous_dotee
02266;Dolignon;1_Tres_sous_dotee
02267;Dommiers;2_Sous_dotee
02268;Domptin;2_Sous_dotee
02269;Dorengt;3_intermediaire
02270;Douchy;1_Tres_sous_dotee
02271;Dravegny;3_intermediaire
02272;Droizy;2_Sous_dotee
02273;Dury;1_Tres_sous_dotee
02274;Ébouleau;3_intermediaire
02275;Effry;1_Tres_sous_dotee
02276;Englancourt;1_Tres_sous_dotee
02277;Épagny;2_Sous_dotee
02278;Éparcy;1_Tres_sous_dotee
02279;Épaux-Bézu;3_intermediaire
02280;Épieds;3_intermediaire
02281;L'Épine-aux-Bois;2_Sous_dotee
02282;Eppes;3_intermediaire
02283;Erlon;1_Tres_sous_dotee
02284;Erloy;1_Tres_sous_dotee
02286;Esquéhéries;3_intermediaire
02287;Essigny-le-Grand;1_Tres_sous_dotee
02288;Essigny-le-Petit;1_Tres_sous_dotee
02289;Essises;3_intermediaire
02290;Essômes-sur-Marne;3_intermediaire
02291;Estrées;1_Tres_sous_dotee
02292;Étampes-sur-Marne;3_intermediaire
