CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage orthophonistes
02258;Dammard;1b_Sous_dense
02259;Dampleux;1b_Sous_dense
02260;Danizy;1b_Sous_dense
02261;Dercy;1b_Sous_dense
02262;Deuillet;1b_Sous_dense
02263;Dhuizel;1b_Sous_dense
02264;Dizy-le-Gros;3_intermediaire
02265;Dohis;3_intermediaire
02266;Dolignon;3_intermediaire
02267;Dommiers;3_intermediaire
02268;Domptin;1b_Sous_dense
02269;Dorengt;3_intermediaire
02270;Douchy;1b_Sous_dense
02271;Dravegny;1b_Sous_dense
02272;Droizy;3_intermediaire
02273;Dury;1b_Sous_dense
02274;Ébouleau;1b_Sous_dense
02275;Effry;3_intermediaire
02276;Englancourt;1b_Sous_dense
02277;Épagny;3_intermediaire
02278;Éparcy;3_intermediaire
02279;Épaux-Bézu;3_intermediaire
02280;Épieds;3_intermediaire
02281;L'Épine-aux-Bois;3_intermediaire
02282;Eppes;1b_Sous_dense
02283;Erlon;3_intermediaire
02284;Erloy;1b_Sous_dense
02286;Esquéhéries;3_intermediaire
02287;Essigny-le-Grand;3_intermediaire
02288;Essigny-le-Petit;3_intermediaire
02289;Essises;3_intermediaire
02290;Essômes-sur-Marne;3_intermediaire
02291;Estrées;3_intermediaire
02292;Étampes-sur-Marne;3_intermediaire
02293;Étaves-et-Bocquiaux;1b_Sous_dense
02294;Étouvelles;1b_Sous_dense
02295;Étréaupont;3_intermediaire
