CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage infirmiers
02131;Bucy-le-Long;4_Tres_dotee
02132;Bucy-lès-Cerny;4_Tres_dotee
02133;Bucy-lès-Pierrepont;4_Tres_dotee
02134;Buire;4_Tres_dotee
02135;Buironfosse;3_intermediaire
02136;Burelles;4_Tres_dotee
02137;Bussiares;3_intermediaire
02138;Buzancy;3_intermediaire
02139;Caillouël-Crépigny;4_Tres_dotee
02140;Camelin;3_intermediaire
02141;La Capelle;3_intermediaire
02142;Castres;5_Sur_dotee
02143;Le Catelet;5_Sur_dotee
02144;Caulaincourt;4_Tres_dotee
02145;Caumont;4_Tres_dotee
02146;Celles-lès-Condé;3_intermediaire
02148;Celles-sur-Aisne;4_Tres_dotee
02149;Cerizy;4_Tres_dotee
02150;Cerny-en-Laonnois;4_Tres_dotee
02151;Cerny-lès-Bucy;4_Tres_dotee
02152;Cerseuil;4_Tres_dotee
02153;Cessières-Suzy;4_Tres_dotee
02154;Chacrise;3_intermediaire
02155;Chaillevois;4_Tres_dotee
02156;Chalandry;4_Tres_dotee
02157;Chambry;4_Tres_dotee
02158;Chamouille;4_Tres_dotee
02159;Champs;4_Tres_dotee
02160;Chaourse;4_Tres_dotee
02162;La Chapelle-sur-Chézy;3_intermediaire
02163;Charly-sur-Marne;3_intermediaire
02164;Le Charmel;4_Tres_dotee
02165;Charmes;4_Tres_dotee
02166;Chartèves;3_intermediaire
02167;Chassemy;4_Tres_dotee
02168;Château-Thierry;3_intermediaire
02169;Châtillon-lès-Sons;4_Tres_dotee
02170;Châtillon-sur-Oise;4_Tres_dotee
02171;Chaudardes;3_intermediaire
02172;Chaudun;3_intermediaire
02173;Chauny;4_Tres_dotee
02174;Chavignon;4_Tres_dotee
02175;Chavigny;5_Sur_dotee
02176;Chavonne;4_Tres_dotee
02177;Chérêt;4_Tres_dotee
02178;Chermizy-Ailles;4_Tres_dotee
02179;Chéry-Chartreuve;3_intermediaire
02180;Chéry-lès-Pouilly;4_Tres_dotee
02181;Chéry-lès-Rozoy;4_Tres_dotee
02182;Chevennes;4_Tres_dotee
02183;Chevregny;4_Tres_dotee
02184;Chevresis-Monceau;4_Tres_dotee
02185;Chézy-en-Orxois;3_intermediaire
02186;Chézy-sur-Marne;3_intermediaire
02187;Chierry;3_intermediaire
02188;Chigny;4_Tres_dotee
02189;Chivres-en-Laonnois;4_Tres_dotee
02190;Chivres-Val;4_Tres_dotee
02191;Chivy-lès-Étouvelles;4_Tres_dotee
02192;Chouy;3_intermediaire
02193;Cierges;4_Tres_dotee
02194;Cilly;4_Tres_dotee
02195;Ciry-Salsogne;4_Tres_dotee
02196;Clacy-et-Thierret;4_Tres_dotee
02197;Clairfontaine;3_intermediaire
02198;Clamecy;4_Tres_dotee
02199;Clastres;3_intermediaire
02200;Clermont-les-Fermes;4_Tres_dotee
02201;Cœuvres-et-Valsery;3_intermediaire
02203;Coincy;4_Tres_dotee
02204;Coingt;4_Tres_dotee
02205;Colligis-Crandelain;4_Tres_dotee
02206;Colonfay;4_Tres_dotee
02207;Commenchon;4_Tres_dotee
02208;Concevreux;3_intermediaire
02209;Condé-en-Brie;3_intermediaire
02210;Condé-sur-Aisne;4_Tres_dotee
02211;Condé-sur-Suippe;3_intermediaire
02212;Condren;4_Tres_dotee
02213;Connigis;3_intermediaire
02214;Contescourt;5_Sur_dotee
02215;Corbeny;3_intermediaire
02216;Corcy;3_intermediaire
02217;Coucy-le-Château-Auffrique;4_Tres_dotee
02218;Coucy-lès-Eppes;4_Tres_dotee
02219;Coucy-la-Ville;4_Tres_dotee
02220;Coulonges-Cohan;4_Tres_dotee
02221;Coupru;3_intermediaire
02222;Courbes;4_Tres_dotee
02223;Courboin;3_intermediaire
02224;Courcelles-sur-Vesle;3_intermediaire
02225;Courchamps;3_intermediaire
02226;Courmelles;5_Sur_dotee
02227;Courmont;4_Tres_dotee
02228;Courtemont-Varennes;4_Tres_dotee
02229;Courtrizy-et-Fussigny;3_intermediaire
02230;Couvrelles;4_Tres_dotee
02231;Couvron-et-Aumencourt;4_Tres_dotee
02232;Coyolles;3_intermediaire
02233;Cramaille;4_Tres_dotee
02234;Craonne;3_intermediaire
02235;Craonnelle;3_intermediaire
02236;Crécy-au-Mont;4_Tres_dotee
02237;Crécy-sur-Serre;4_Tres_dotee
02238;Crépy;4_Tres_dotee
02239;Crézancy;3_intermediaire
02240;Croix-Fonsomme;5_Sur_dotee
02241;La Croix-sur-Ourcq;4_Tres_dotee
02242;Crouttes-sur-Marne;3_intermediaire
02243;Crouy;5_Sur_dotee
02244;Crupilly;4_Tres_dotee
02245;Cuffies;5_Sur_dotee
02246;Cugny;3_intermediaire
02248;Cuirieux;4_Tres_dotee
02249;Cuiry-Housse;3_intermediaire
02250;Cuiry-lès-Chaudardes;3_intermediaire
02251;Cuiry-lès-Iviers;4_Tres_dotee
02252;Cuissy-et-Geny;3_intermediaire
02253;Cuisy-en-Almont;5_Sur_dotee
02254;Cutry;3_intermediaire
02255;Cys-la-Commune;4_Tres_dotee
02256;Dagny-Lambercy;4_Tres_dotee
02257;Dallon;4_Tres_dotee
02258;Dammard;3_intermediaire
02259;Dampleux;3_intermediaire
02260;Danizy;4_Tres_dotee
02261;Dercy;4_Tres_dotee
02262;Deuillet;4_Tres_dotee
02263;Dhuizel;3_intermediaire
02264;Dizy-le-Gros;3_intermediaire
02265;Dohis;4_Tres_dotee
02266;Dolignon;4_Tres_dotee
02267;Dommiers;4_Tres_dotee
02268;Domptin;3_intermediaire
02269;Dorengt;4_Tres_dotee
02270;Douchy;3_intermediaire
02271;Dravegny;3_intermediaire
02272;Droizy;3_intermediaire
02273;Dury;3_intermediaire
02274;Ébouleau;4_Tres_dotee
02275;Effry;4_Tres_dotee
02276;Englancourt;4_Tres_dotee
02277;Épagny;4_Tres_dotee
02278;Éparcy;4_Tres_dotee
02279;Épaux-Bézu;3_intermediaire
02280;Épieds;3_intermediaire
